point_id,patch_label,patch_source,center_sigma,center_rho,center_beta,center_nucleus,sigma,rho,beta
P0001,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.35130799999999,2.5057520000000006
P0002,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.35130799999999,2.5343020000000003
P0003,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.35130799999999,2.5628520000000004
P0004,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.35130799999999,2.5914020000000004
P0005,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.35130799999999,2.619952
P0006,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.60130799999999,2.5057520000000006
P0007,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.60130799999999,2.5343020000000003
P0008,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.60130799999999,2.5628520000000004
P0009,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.60130799999999,2.5914020000000004
P0010,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.60130799999999,2.619952
P0011,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.85130799999999,2.5057520000000006
P0012,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.85130799999999,2.5343020000000003
P0013,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.85130799999999,2.5628520000000004
P0014,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.85130799999999,2.5914020000000004
P0015,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,101.85130799999999,2.619952
P0016,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,102.10130799999999,2.5057520000000006
P0017,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,102.10130799999999,2.5343020000000003
P0018,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,102.10130799999999,2.5628520000000004
P0019,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,102.10130799999999,2.5914020000000004
P0020,B_CENTER_EMPIRICAL,empirical_mean_of_B,10.152396000000001,101.85130799999999,2.5628520000000004,GLOBAL,10.055696000000003,102.10130799999999,2.619952
