nucleus_id,nucleus_kind,center_sigma,center_rho,center_beta,anchor,topo_idx,perm,topo_label,perm_label,effective_signature,source_mode,point_id,patch_label,patch_source,center_nucleus_label,sigma,rho,beta,bounded_frac_ref,moving_frac_ref,pos_lyap_frac_ref,mle_mean_ref,mle_median_ref,mle_std_ref,mle_median_r5,mle_median_r10,mle_median_r20,mle_delta,mle_sign_stability,class_v3_3bis,all_bounded,all_moving,stable_under_renorm
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0001,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.35130799999999,2.5057520000000006,1.0,1.0,1.0,1.8617285492606674,1.8728016496632651,0.1932354394992057,1.626127890565463,1.8728016496632651,1.8326612847091739,0.2466737590978021,0.0,BORDER,True,True,False
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0002,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.35130799999999,2.5343020000000003,1.0,1.0,1.0,1.7187337014757564,1.7007311591407666,0.23750810210403295,1.5885160583493971,1.7007311591407666,1.7390339549904266,0.15051789664102944,0.0,BORDER,True,True,False
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0003,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.35130799999999,2.5628520000000004,1.0,1.0,1.0,1.6703179334379004,1.6485169167278775,0.21552627913909153,1.4208155602456594,1.6485169167278775,1.5786392676206777,0.22770135648221812,0.0,BORDER,True,True,False
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0004,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.35130799999999,2.5914020000000004,1.0,1.0,1.0,1.4626386883905012,1.407909545644162,0.20095053224973877,1.3444536483879328,1.407909545644162,1.6683578746106629,0.3239042262227301,0.0,BORDER,True,True,False
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0005,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.35130799999999,2.619952,1.0,1.0,1.0,0.7866448669716299,0.716854726376731,0.4036720566172366,0.5365714667733175,0.716854726376731,0.7306537992249764,0.19408233245165896,0.0,BORDER,True,True,False
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0006,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.60130799999999,2.5057520000000006,1.0,1.0,1.0,1.6727396114585695,1.6829715679787371,0.13550561641759862,1.6782833652310507,1.6829715679787371,1.7811937928294426,0.10291042759839186,0.0,BORDER,True,True,False
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0007,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.60130799999999,2.5343020000000003,1.0,1.0,1.0,1.5769847399403574,1.5434490559922232,0.2619474306987147,1.6232282218342107,1.5434490559922232,1.6677001031199072,0.12425104712768409,0.0,BORDER,True,True,False
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0008,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.60130799999999,2.5628520000000004,1.0,1.0,1.0,1.4813088009082085,1.540979839721063,0.23743432613604912,1.462553046090159,1.540979839721063,1.4949510746215748,0.07842679363090399,0.0,CHAOS_STRONG,True,True,True
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0009,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.60130799999999,2.5914020000000004,1.0,1.0,1.0,1.3195333994073595,1.2766486988896784,0.30045859879394715,1.4126062775895156,1.2766486988896784,1.3895646798854293,0.13595757869983727,0.0,BORDER,True,True,False
CSV_TARGETED,targeted_csv,10.152396000000001,101.85130799999999,2.5628520000000004,C2a,41,"(0, 1, 2)",01E.02I.10E.12I.20I.21E,01E.02I.10E.12I.20I.21E,W01=+|W10=+|W12=-|W20W21=-,points_csv,P0010,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000003,101.60130799999999,2.619952,1.0,1.0,0.75,0.1901703627092351,0.06536626632498582,0.33813390614826044,0.25468883187685853,0.06536626632498582,0.1257659039896391,0.1893225655518727,0.0,BORDER,True,True,False
